models,language_codes,iso_693_3
csukuangfj/vits-piper-zh_CN-huayan-medium,zh_CN,zho
csukuangfj/vits-piper-en_US-glados|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_GB-southern_english_male-medium|8 speakers,en_GB,eng
csukuangfj/vits-piper-en_GB-southern_english_female-medium|6 speakers,en_GB,eng
csukuangfj/vits-piper-en_US-bryce-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-john-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-norman-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_GB-sweetbbak-amy|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_US-amy-low|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-amy-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-arctic-medium|18 speakers,en_US,en-us
csukuangfj/vits-piper-en_US-danny-low|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-hfc_male-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-hfc_female-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-joe-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-kathleen-low|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-kusal-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-l2arctic-medium|24 speakers,en_US,en-us
csukuangfj/vits-piper-en_US-lessac-high|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-lessac-low|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-lessac-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-libritts-high|904 speakers,en_US,en-us
csukuangfj/vits-piper-en_US-libritts_r-medium|904 speakers,en_US,en-us
csukuangfj/vits-piper-en_US-ljspeech-high|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-ljspeech-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-ryan-high|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-ryan-low|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_US-ryan-medium|1 speaker,en_US,en-us
csukuangfj/vits-piper-en_GB-alan-low|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-alan-medium|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-alan-medium,en_GB,eng
csukuangfj/vits-piper-en_GB-cori-high|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-cori-medium|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-jenny_dioco-medium|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-northern_english_male-medium|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-semaine-medium|4 speakers,en_GB,eng
csukuangfj/vits-piper-en_GB-southern_english_female-low|1 speaker,en_GB,eng
csukuangfj/vits-piper-en_GB-vctk-medium|109 speakers,en_GB,eng
csukuangfj/vits-piper-de_DE-eva_k-x_low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-karlsson-low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-kerstin-low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-pavoque-low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-ramona-low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-thorsten-low|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-thorsten-medium|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-thorsten-high|1 speaker,de_DE,deu
csukuangfj/vits-piper-de_DE-thorsten_emotional-medium|8 speakers,de_DE,deu
